Date,Numbers
1/14/2019,5
1/16/2019,4
1/18/2019,2
1/21/2019,0
1/23/2019,6
1/25/2019,6
1/28/2019,1
1/30/2019,5
2/1/2019,4
2/4/2019,1
2/6/2019,2
2/8/2019,1
2/11/2019,1
2/13/2019,1
2/15/2019,0
2/18/2019,0
2/20/2019,2
2/22/2019,4
2/25/2019,3
2/27/2019,2
3/1/2019,1
3/4/2019,1
3/6/2019,3
3/8/2019,3
3/11/2019,0
3/13/2019,0
3/15/2019,0
3/18/2019,1
3/20/2019,3
3/22/2019,2
3/25/2019,2
3/27/2019,0
3/29/2019,0
4/1/2019,0
4/3/2019,3
4/5/2019,2
4/8/2019,2
4/10/2019,3
4/12/2019,2
4/15/2019,2
4/17/2019,1
4/19/2019,1
4/22/2019,1
4/24/2019,0
4/26/2019,0
4/29/2019,0
